candidate_name,accepted,proposer,round,quality_total,composite_risk_score,risk_band,margin_to_review,margin_to_reject,nearest_match,pronounceability,syllables,failure_codes,warning_codes,refined_from,lineage,q_distinctiveness,q_novelty,q_pronounceability,q_seam,q_morpheme_hygiene,q_shape,q_typicality,sweep_target,target_type,target_stem,difficulty,in_shortlist,q_stem_avoidance,q_memorability
maxopril,False,grammar,1,65.47,67.8,moderate,-12.8,2.2,maxitrol,0.6607,3,TRADEMARK_HIT,SIMILARITY_MODERATE,,maxopril,0.0,1.0,0.899,1.0,1.0,0.787,0.001,ACE inhibitor,generic,-pril,roomy,False,,
murofupril,True,grammar,1,63.84,53.69,low,1.31,16.31,brinsupri,0.6254,4,,,,murofupril,0.052,0.733,0.924,1.0,1.0,0.998,0.0,ACE inhibitor,generic,-pril,roomy,True,,
purzeprupril,True,grammar,1,62.84,52.22,low,2.78,17.78,bepridil,0.6423,4,,,,purzeprupril,0.111,0.8,0.754,1.0,1.0,0.862,0.0,ACE inhibitor,generic,-pril,roomy,False,,
ebopril,True,grammar,1,64.44,66.52,moderate,-11.52,3.48,baytril,0.6413,3,,SIMILARITY_MODERATE,,ebopril,0.0,1.0,0.899,1.0,1.0,0.685,0.0,ACE inhibitor,generic,-pril,roomy,True,,
cyxonopril,True,grammar,1,66.37,63.96,moderate,-8.96,6.04,cyclomydril,0.6089,4,,SIMILARITY_MODERATE,,cyxonopril,0.0,1.0,0.813,1.0,1.0,0.998,0.001,ACE inhibitor,generic,-pril,roomy,True,,
mulopril,True,grammar,1,57.55,66.83,moderate,-11.83,3.17,zyloprim,0.7379,3,,SIMILARITY_MODERATE,,mulopril,0.0,0.6,0.899,1.0,1.0,0.787,0.013,ACE inhibitor,generic,-pril,roomy,False,,
metuvopril,True,grammar,1,62.64,60.69,moderate,-5.69,9.31,metoprolol,0.6489,4,,SIMILARITY_MODERATE,,metuvopril,0.0,0.733,0.924,1.0,1.0,0.998,0.007,ACE inhibitor,generic,-pril,roomy,False,,
basamepril,False,grammar,1,62.59,59.86,moderate,-4.86,10.14,ramiprilat,0.6492,4,TRADEMARK_HIT,SIMILARITY_MODERATE,,basamepril,0.0,0.733,0.924,1.0,1.0,0.998,0.0,ACE inhibitor,generic,-pril,roomy,False,,
liolsodupril,True,grammar,1,62.65,53.4,low,1.6,16.6,colfosceril,0.6085,5,,,,liolsodupril,0.064,0.8,0.915,1.0,1.0,0.731,0.0,ACE inhibitor,generic,-pril,roomy,False,,
tocepril,True,grammar,1,61.74,64.72,moderate,-9.72,5.28,boceprevir,0.6841,3,,SIMILARITY_MODERATE,,tocepril,0.0,0.6,0.899,1.0,1.0,0.787,0.611,ACE inhibitor,generic,-pril,roomy,False,,
axaapril,False,grammar,1,67.06,73.87,high,-18.87,-3.87,exaprin,0.6015,4,SIMILARITY_TOO_HIGH|TRADEMARK_HIT,,,axaapril,0.0,1.0,0.924,1.0,1.0,0.912,0.0,ACE inhibitor,generic,-pril,roomy,False,,
decubapril,True,grammar,1,62.59,69.21,moderate,-14.21,0.79,sacubitril,0.6517,4,,SIMILARITY_MODERATE,,decubapril,0.0,0.733,0.924,1.0,1.0,0.998,0.001,ACE inhibitor,generic,-pril,roomy,False,,
pamimlepril,True,grammar,1,62.55,56.31,moderate,-1.31,13.69,familiaris,0.6293,4,,SIMILARITY_MODERATE,,pamimlepril,0.0,0.771,0.9,1.0,1.0,0.952,0.0,ACE inhibitor,generic,-pril,roomy,False,,
nerfepril,True,grammar,1,59.43,66.11,moderate,-11.11,3.89,nyvepria,0.6302,3,,SIMILARITY_MODERATE,,nerfepril,0.0,0.68,0.874,1.0,1.0,0.858,0.001,ACE inhibitor,generic,-pril,roomy,False,,
sirnopril,False,grammar,1,65.82,65.51,moderate,-10.51,4.49,fosinoprilat,0.607,3,INTRA_STEM_TOO_CLOSE|TRADEMARK_HIT,SIMILARITY_MODERATE,,sirnopril,0.0,1.0,0.874,1.0,1.0,0.858,0.0,ACE inhibitor,generic,-pril,roomy,False,,
zitrupril,True,grammar,1,57.37,64.32,moderate,-9.32,5.68,citrucel,0.6141,3,,SIMILARITY_MODERATE,,zitrupril,0.0,0.68,0.728,1.0,1.0,0.858,0.0,ACE inhibitor,generic,-pril,roomy,False,,
noturdipril,True,grammar,1,62.55,58.1,moderate,-3.1,11.9,moexiprilat,0.669,4,,SIMILARITY_MODERATE,,noturdipril,0.0,0.771,0.9,1.0,1.0,0.952,0.0,ACE inhibitor,generic,-pril,roomy,False,,
igitropril,True,grammar,1,60.55,66.93,moderate,-11.93,3.07,dinitropropyl,0.6888,4,,SIMILARITY_MODERATE,,igitropril,0.0,0.733,0.779,1.0,1.0,0.998,0.0,ACE inhibitor,generic,-pril,roomy,False,,
bapiipril,False,grammar,1,67.77,71.47,high,-16.47,-1.47,gabitril,0.601,4,SIMILARITY_TOO_HIGH|TRADEMARK_HIT,,,bapiipril,0.0,1.0,0.924,1.0,1.0,0.983,0.0,ACE inhibitor,generic,-pril,roomy,False,,
emlavapril,False,grammar,1,62.26,63.77,moderate,-8.77,6.23,enalaprilat,0.6288,4,INTRA_STEM_TOO_CLOSE|TRADEMARK_HIT,SIMILARITY_MODERATE,,emlavapril,0.0,0.733,0.9,1.0,1.0,0.998,0.003,ACE inhibitor,generic,-pril,roomy,False,,
ixopril,True,grammar,1,64.44,65.38,moderate,-10.38,4.62,exaprin,0.6228,3,,SIMILARITY_MODERATE,,ixopril,0.0,1.0,0.899,1.0,1.0,0.685,0.0,ACE inhibitor,generic,-pril,roomy,True,,
lidadepril,True,grammar,1,62.59,59.49,moderate,-4.49,10.51,lidoderm,0.6397,4,,SIMILARITY_MODERATE,,lidadepril,0.0,0.733,0.924,1.0,1.0,0.998,0.0,ACE inhibitor,generic,-pril,roomy,False,,
pixopril,True,grammar,1,65.46,61.64,moderate,-6.64,8.36,nexobrid,0.627,3,,SIMILARITY_MODERATE,,pixopril,0.0,1.0,0.899,1.0,1.0,0.787,0.0,ACE inhibitor,generic,-pril,roomy,True,,
hecrapril,True,grammar,1,63.77,62.47,moderate,-7.47,7.53,capryl,0.6363,3,,SIMILARITY_MODERATE,,hecrapril,0.0,1.0,0.728,1.0,1.0,0.858,0.0,ACE inhibitor,generic,-pril,roomy,True,,
trapril,False,ngram_guided,1,61.06,74.96,high,-19.96,-4.96,trapidil,0.8328,2,SIMILARITY_TOO_HIGH,,,trapril,0.0,1.0,0.673,1.0,1.0,0.466,0.283,ACE inhibitor,generic,-pril,roomy,False,,
testpril,False,ngram_guided,1,51.77,79.08,high,-24.08,-9.08,zestril,0.5144,2,SIMILARITY_TOO_HIGH|TRADEMARK_HIT,,,testpril,0.0,0.6,0.519,0.65,1.0,0.568,0.711,ACE inhibitor,generic,-pril,roomy,False,,
neparvopril,True,ngram_guided,1,52.6,66.59,moderate,-11.59,3.41,neparvovec,0.6517,4,,SIMILARITY_MODERATE,,neparvopril,0.0,0.15,0.9,1.0,1.0,0.952,0.354,ACE inhibitor,generic,-pril,roomy,False,,
sotpril,True,ngram_guided,1,65.23,65.92,moderate,-10.92,4.08,sabril,0.6025,2,,SIMILARITY_MODERATE,,sotpril,0.0,1.0,0.737,1.0,1.0,0.466,0.75,ACE inhibitor,generic,-pril,roomy,True,,
zuralapril,False,ngram_guided,1,58.58,63.22,moderate,-8.22,6.78,enalaprilat,0.6446,4,TRADEMARK_HIT,SIMILARITY_MODERATE,,zuralapril,0.0,0.517,0.924,1.0,1.0,0.998,0.046,ACE inhibitor,generic,-pril,roomy,False,,
bacapril,False,ngram_guided,1,62.21,76.17,high,-21.17,-6.17,dcapryl,0.8026,3,SIMILARITY_TOO_HIGH|TRADEMARK_HIT,,,bacapril,0.0,0.6,0.899,1.0,1.0,0.787,0.678,ACE inhibitor,generic,-pril,roomy,False,,
ibupril,False,ngram_guided,1,68.77,77.16,high,-22.16,-7.16,isuprel,0.6501,3,SIMILARITY_TOO_HIGH|TRADEMARK_HIT,,,ibupril,0.0,1.0,0.899,1.0,1.0,0.685,0.618,ACE inhibitor,generic,-pril,roomy,False,,
ensaribopril,True,ngram_guided,1,62.27,61.12,moderate,-6.12,8.88,riboprine,0.6696,5,,SIMILARITY_MODERATE,,ensaribopril,0.0,0.6,0.915,1.0,1.0,0.731,0.736,ACE inhibitor,generic,-pril,roomy,False,,
imexpril,False,ngram_guided,1,55.14,65.96,moderate,-10.96,4.04,moexiprilat,0.5359,3,INTRA_STEM_TOO_CLOSE|TRADEMARK_HIT,SIMILARITY_MODERATE,,imexpril,0.0,0.6,0.72,1.0,1.0,0.787,0.026,ACE inhibitor,generic,-pril,roomy,False,,
ramilopril,False,ngram_guided,1,55.88,71.67,high,-16.67,-1.67,ramipril,0.7587,4,SIMILARITY_TOO_HIGH|INTRA_STEM_TOO_CLOSE|TRADEMARK_HIT,,,ramilopril,0.0,0.517,0.924,1.0,0.53,0.998,0.735,ACE inhibitor,generic,-pril,roomy,False,,
odropril,True,ngram_guided,1,56.22,65.09,moderate,-10.09,4.91,proprinal,0.7222,3,,SIMILARITY_MODERATE,,odropril,0.0,0.6,0.728,1.0,1.0,0.787,0.165,ACE inhibitor,generic,-pril,roomy,False,,
gefibrikpril,True,ngram_guided,1,55.63,59.7,moderate,-4.7,10.3,gemfibrozil,0.604,4,,SIMILARITY_MODERATE,,gefibrikpril,0.0,0.6,0.692,1.0,1.0,0.862,0.046,ACE inhibitor,generic,-pril,roomy,False,,
degapril,False,ngram_guided,1,60.49,75.08,high,-20.08,-5.08,dicapryl,0.6613,3,SIMILARITY_TOO_HIGH|TRADEMARK_HIT,,,degapril,0.0,0.6,0.899,1.0,1.0,0.787,0.432,ACE inhibitor,generic,-pril,roomy,False,,
nilvapril,False,ngram_guided,1,58.18,68.29,moderate,-13.29,1.71,anisacril,0.643,3,INTRA_STEM_TOO_CLOSE|TRADEMARK_HIT,SIMILARITY_MODERATE,,nilvapril,0.0,0.45,0.874,1.0,1.0,0.858,0.48,ACE inhibitor,generic,-pril,roomy,False,,
lidotpril,False,ngram_guided,1,54.33,75.37,high,-20.37,-5.37,lidotral,0.6048,3,SIMILARITY_TOO_HIGH|TRADEMARK_HIT,,,lidotpril,0.0,0.45,0.788,1.0,1.0,0.858,0.103,ACE inhibitor,generic,-pril,roomy,False,,
